location,num_tweets
Alabama,140076
Alaska,38636
Arizona,275062
Arkansas,87580
California,1767353
Colorado,194544
Connecticut,115719
Delaware,24474
District of Columbia,192054
Florida,787812
Georgia,332629
Hawaii,71309
Idaho,68615
Illinois,410162
Indiana,156374
Iowa,78069
Kansas,90636
Kentucky,107070
Louisiana,114243
Maine,55378
Maryland,783597
Massachusetts,264521
Michigan,352086
Minnesota,187564
Mississippi,44689
Missouri,149004
Montana,23615
Nebraska,63390
Nevada,170178
New Hampshire,43915
New Jersey,261389
New Mexico,43016
New York,887099
North Carolina,234864
North Dakota,18601
Ohio,411672
Oklahoma,108745
Oregon,170962
Pennsylvania,383757
Rhode Island,30542
South Carolina,155784
South Dakota,21138
Tennessee,192627
Texas,888595
Utah,84238
Vermont,22410
Virginia,247580
Washington,214739
West Virginia,58941
Wisconsin,148884
Wyoming,15072
