month,num
2020-09,216226
2020-08,521248
2020-07,457839
2020-06,460698
2020-05,322985
2020-04,130524
2020-03,748080
2020-02,643133
2020-01,780346
2019-12,1093561
2019-11,1396262
2019-10,1314745
2019-09,4446118
2019-08,1217047
2019-07,983655
2019-06,698187
2019-05,621519
2019-04,685170
2019-03,760455
2019-02,643366
2019-01,676807
2018-12,783062
2018-11,926487
2018-10,695407
2018-09,750615
2018-08,794713
2018-07,707394
2018-06,638218
2018-05,615446
2018-04,547991
2018-03,621504
2018-02,753210
2018-01,730538
2017-12,698321
2017-11,725846
2017-10,584655
2017-09,591297
2017-08,587947
2017-07,567435
2017-06,548173
2017-05,653111
2017-04,627185
2017-03,712847
2017-02,670837
2017-01,677435
2016-12,683080
2016-11,646595
2016-10,638745
2016-09,621797
2016-08,510061
2016-07,796735
2016-06,885158
2016-05,1029667
2016-04,1045837
2016-03,949577
2016-02,1082888
2016-01,1494873
2015-12,1113284
2015-11,1298450
2015-10,1111268
2015-09,1182384
2015-08,1125864
2015-07,1101799
2015-06,931498
2015-05,671347
2015-04,791392
2015-03,854872
2015-02,743648
2015-01,830390
2014-12,650135
2014-11,601526
2014-10,511918
2014-09,469986
2014-08,595516
2014-07,486911
2014-06,460236
2014-05,552427
2014-04,621353
2014-03,393095
2014-02,413847
2014-01,617153
2013-12,658627
2013-11,357407
2013-10,373903
2013-09,433673
2013-08,402248
2013-07,418626
2013-06,476194
2013-05,954349
2013-04,236389
