month,num_tweets
2013-04,126688
2013-05,539649
2013-06,267465
2013-07,234663
2013-08,191606
2013-09,224183
2013-10,188449
2013-11,166881
2013-12,293580
2014-01,331301
2014-02,200642
2014-03,196600
2014-04,309845
2014-05,265398
2014-06,215623
2014-07,233751
2014-08,339332
2014-09,263484
2014-10,236719
2014-11,227082
2014-12,326318
2015-01,445730
2015-02,427678
2015-03,450145
2015-04,450816
2015-05,378534
2015-06,577493
2015-07,726946
2015-08,757071
2015-09,755283
2015-10,716810
2015-11,862714
2015-12,726496
2016-01,993844
2016-02,692773
2016-03,613377
2016-04,680442
2016-05,678490
2016-06,570340
2016-07,501740
2016-08,328426
2016-09,395770
2016-10,393307
2016-11,397757
2016-12,430215
2017-01,418409
2017-02,426302
2017-03,452811
2017-04,373021
2017-05,400221
2017-06,322761
2017-07,330059
2017-08,349610
2017-09,365097
2017-10,365600
2017-11,344142
2017-12,380319
2018-01,397943
2018-02,486308
2018-03,374015
2018-04,315192
2018-05,358836
2018-06,368665
2018-07,435771
2018-08,473169
2018-09,437711
2018-10,376987
2018-11,568727
2018-12,431180
2019-01,412862
2019-02,364547
2019-03,427560
2019-04,374121
2019-05,327959
2019-06,376646
2019-07,676415
2019-08,827052
2019-09,2896730
2019-10,874540
2019-11,930733
2019-12,670173
2020-01,505862
2020-02,404023
2020-03,515644
2020-04,89837
2020-05,189342
2020-06,265483
2020-07,286566
2020-08,344064
2020-09,138561
