location,num_tweets
Alabama,107707
Alaska,28952
Arizona,209416
Arkansas,65576
California,1323518
Colorado,142352
Connecticut,88816
Delaware,17908
District of Columbia,150361
Florida,579397
Georgia,253991
Hawaii,55704
Idaho,53825
Illinois,311510
Indiana,121473
Iowa,59535
Kansas,70505
Kentucky,82463
Louisiana,83073
Maine,43083
Maryland,645683
Massachusetts,206933
Michigan,275403
Minnesota,145193
Mississippi,33197
Missouri,115145
Montana,17224
Nebraska,49486
Nevada,128184
New Hampshire,34772
New Jersey,202951
New Mexico,31304
New York,676081
North Carolina,182395
North Dakota,14648
Ohio,323106
Oklahoma,83632
Oregon,129777
Pennsylvania,300469
Rhode Island,23569
South Carolina,131320
South Dakota,16716
Tennessee,148575
Texas,675891
Utah,64861
Vermont,16968
Virginia,193599
Washington,168666
West Virginia,46837
Wisconsin,116937
Wyoming,11050
