month,num_tweets
2013-04,23388
2013-05,124931
2013-06,62661
2013-07,48003
2013-08,49396
2013-09,62616
2013-10,48090
2013-11,40899
2013-12,51667
2014-01,61826
2014-02,45709
2014-03,47364
2014-04,74933
2014-05,60393
2014-06,45141
2014-07,45151
2014-08,58648
2014-09,52839
2014-10,62147
2014-11,54174
2014-12,76378
2015-01,113653
2015-02,98775
2015-03,111493
2015-04,106728
2015-05,77115
2015-06,112151
2015-07,138695
2015-08,125689
2015-09,140979
2015-10,144735
2015-11,146036
2015-12,138813
2016-01,437425
2016-02,217582
2016-03,139093
2016-04,152057
2016-05,157463
2016-06,127639
2016-07,117936
2016-08,76559
2016-09,88128
2016-10,79837
2016-11,80640
2016-12,91302
2017-01,78626
2017-02,84108
2017-03,90177
2017-04,76578
2017-05,70393
2017-06,60077
2017-07,59889
2017-08,61548
2017-09,58330
2017-10,61167
2017-11,61004
2017-12,69026
2018-01,69234
2018-02,87085
2018-03,65314
2018-04,61101
2018-05,68490
2018-06,69763
2018-07,91162
2018-08,77245
2018-09,81764
2018-10,77478
2018-11,138778
2018-12,108595
2019-01,90186
2019-02,75949
2019-03,97083
2019-04,81854
2019-05,64149
2019-06,72496
2019-07,158031
2019-08,189386
2019-09,837945
2019-10,239684
2019-11,247501
2019-12,135871
2020-01,116548
2020-02,94292
2020-03,99685
2020-04,15480
2020-05,31929
2020-06,40201
2020-07,43331
2020-08,58700
2020-09,25627
